[2026-04-06T12:02:19.373121] _save_step: step_index=0, step_co_id=4, step_branch_id=9, source_co_id=1, source_branch_id=2, is_final=False, is_first_step=True
[2026-04-06T12:05:23.317759] _save_step: step_index=0, step_co_id=4, step_branch_id=9, source_co_id=1, source_branch_id=2, is_final=False, is_first_step=True
[2026-04-06T12:10:50.881528] _save_step: step_index=1, step_co_id=23, step_branch_id=19, source_co_id=1, source_branch_id=2, is_final=False, is_first_step=False
[2026-04-06T12:14:28.166647] _save_step: step_index=1, step_co_id=23, step_branch_id=19, source_co_id=1, source_branch_id=2, is_final=False, is_first_step=False
[2026-04-06T12:17:55.800645] _save_step: step_index=1, step_co_id=23, step_branch_id=19, source_co_id=1, source_branch_id=2, is_final=False, is_first_step=False
[2026-04-06T12:23:07.476853] _save_step: step_index=2, step_co_id=17, step_branch_id=21, source_co_id=1, source_branch_id=2, is_final=False, is_first_step=False
[2026-04-06T12:30:35.991557] _save_step: step_index=2, step_co_id=17, step_branch_id=21, source_co_id=1, source_branch_id=2, is_final=False, is_first_step=False
[2026-04-06T12:33:29.981150] _save_step: step_index=2, step_co_id=17, step_branch_id=21, source_co_id=1, source_branch_id=2, is_final=False, is_first_step=False
[2026-04-06T12:51:03.207706] _save_step: step_index=2, step_co_id=17, step_branch_id=21, source_co_id=1, source_branch_id=2, is_final=False, is_first_step=False
[2026-04-06T15:53:34.186551] _save_step: step_index=1, step_co_id=23, step_branch_id=19, source_co_id=1, source_branch_id=2, is_final=False, is_first_step=False
[2026-04-06T15:54:08.458554] _save_step: step_index=2, step_co_id=17, step_branch_id=21, source_co_id=1, source_branch_id=2, is_final=False, is_first_step=False
[2026-04-06T16:14:12.180736] _save_step: step_index=0, step_co_id=4, step_branch_id=9, source_co_id=1, source_branch_id=2, is_final=False, is_first_step=True
[2026-04-06T16:15:13.861688] _save_step: step_index=0, step_co_id=4, step_branch_id=9, source_co_id=1, source_branch_id=2, is_final=False, is_first_step=True
[2026-04-06T16:15:47.927336] _save_step: step_index=0, step_co_id=4, step_branch_id=9, source_co_id=1, source_branch_id=2, is_final=False, is_first_step=True
[2026-04-06T16:23:10.905815] _save_step: step_index=1, step_co_id=23, step_branch_id=19, source_co_id=1, source_branch_id=2, is_final=False, is_first_step=False
[2026-04-06T16:40:59.516821] _save_step: step_index=2, step_co_id=17, step_branch_id=21, source_co_id=1, source_branch_id=2, is_final=False, is_first_step=False
[2026-04-06T16:52:44.269396] _save_step: step_index=3, step_co_id=19, step_branch_id=24, source_co_id=1, source_branch_id=2, is_final=False, is_first_step=False
[2026-04-06T16:54:14.388211] _save_step: step_index=4, step_co_id=1, step_branch_id=2, source_co_id=1, source_branch_id=2, is_final=True, is_first_step=False
[2026-04-07T15:52:52.430342] _save_step: step_index=0, step_co_id=21, step_branch_id=17, source_co_id=1, source_branch_id=2, is_final=False, is_first_step=True
[2026-04-07T15:59:40.295124] _save_step: step_index=1, step_co_id=26, step_branch_id=25, source_co_id=1, source_branch_id=2, is_final=False, is_first_step=False
